trade_date,open,high,low,close,volume
2010-01-04,3592.468,3597.748,3535.229,3535.229,6610108000
2010-01-05,3545.186,3577.526,3497.661,3564.038,8580964000
2010-01-06,3558.7,3588.832,3541.173,3541.727,7847312500
2010-01-07,3543.16,3558.556,3452.769,3471.456,8035004000
2010-01-08,3456.908,3482.083,3426.698,3480.13,6079025200
2010-01-11,3593.106,3594.528,3465.317,3482.052,8998017600
2010-01-12,3477.842,3535.407,3437.661,3534.916,9374327800
2010-01-13,3448.291,3490.112,3415.693,3421.144,11245790400
2010-01-14,3433.472,3470.323,3411.812,3469.051,8335324800
2010-01-15,3472.524,3500.072,3448.661,3482.738,7254310400
2010-01-18,3471.777,3501.26,3458.042,3500.684,8285430400
2010-01-19,3506.806,3528.39,3497.094,3507.482,7488323200
2010-01-20,3512.246,3515.449,3387.818,3394.434,9249514400
2010-01-21,3397.043,3425.18,3364.723,3408.574,7059507200
2010-01-22,3364.452,3390.796,3293.194,3366.197,8893340800
2010-01-25,3340.013,3372.426,3326.266,3328.014,5684917200
2010-01-26,3328.113,3341.198,3222.14,3242.797,6175223200
2010-01-27,3243.038,3255.116,3183.365,3198.566,5269139200
2010-01-28,3195.289,3220.306,3168.463,3206.57,4699071600
2010-01-29,3190.315,3249.455,3176.916,3204.155,5026261200
2010-02-01,3198.23,3198.311,3116.439,3152.707,5700138000
2010-02-02,3170.778,3211.941,3143.085,3146.189,5013003200
2010-02-03,3160.712,3231.102,3094.568,3230.715,6479889600
2010-02-04,3206.431,3242.519,3190.437,3218.802,5897272800
2010-02-05,3147.721,3177.42,3129.921,3153.087,5910584400
2010-02-08,3152.253,3172.306,3133.808,3150.988,3735595200
2010-02-09,3147.761,3178.947,3144.478,3169.19,3595316000
2010-02-10,3195.142,3214.456,3182.834,3214.13,3421989600
2010-02-11,3216.688,3238.349,3207.165,3220.398,3579105200
2010-02-12,3232.879,3253.196,3228.738,3251.278,3405824000
2010-02-22,3248.947,3261.949,3232.784,3233.345,3828377200
2010-02-23,3225.393,3225.393,3152.934,3198.634,4274289600
2010-02-24,3177.082,3244.816,3165.133,3244.483,4998943600
2010-02-25,3252.153,3294.144,3249.329,3292.128,6758661600
2010-02-26,3286.095,3301.149,3273.693,3281.666,5210728800
2010-03-01,3290.007,3330.378,3287.556,3324.423,6050452000
2010-03-02,3327.103,3339.894,3299.685,3311.236,5703437600
2010-03-03,3313.023,3335.654,3293.916,3335.081,6062273200
2010-03-04,3338.674,3345.909,3244.978,3250.573,6934680800
2010-03-05,3253.164,3276.403,3239.677,3259.764,4562913600
2010-03-08,3268.397,3293.93,3258.034,3286.178,4154087600
2010-03-09,3285.62,3322.506,3255.982,3305.863,5419948800
2010-03-10,3304.036,3321.081,3267.761,3279.694,4642108000
2010-03-11,3282.199,3303.488,3251.704,3276.705,4748775200
2010-03-12,3277.309,3284.263,3232.117,3233.126,3995734400
2010-03-15,3231.216,3234.821,3171.803,3183.183,3784430400
2010-03-16,3183.775,3204.289,3169.098,3203.971,3084778000
2010-03-17,3214.216,3273.998,3207.271,3273.916,4580093600
2010-03-18,3277.883,3295.368,3256.593,3267.555,4694801200
2010-03-19,3270.978,3296.411,3251.136,3293.871,4606218800
2010-03-22,3297.824,3313.922,3288.506,3302.628,4943946400
2010-03-23,3305.554,3309.12,3272.921,3275.573,4653953600
2010-03-24,3282.052,3298.543,3271.033,3276.669,4454796800
2010-03-25,3270.39,3270.39,3222.821,3229.128,4498428400
2010-03-26,3226.8,3285.388,3220.594,3275.002,4744496400
2010-03-29,3295.763,3363.605,3293.671,3358.54,8472491200
2010-03-30,3361.353,3372.265,3350.313,3366.708,5643698000
2010-03-31,3369.193,3369.901,3338.745,3345.607,5312428800
2010-04-01,3349.884,3392.481,3349.884,3391.935,6777267200
2010-04-02,3400.139,3412.2,3391.806,3407.346,6907345600
2010-04-06,3422.849,3436.29,3386.888,3405.145,6519171200
2010-04-07,3403.088,3404.582,3369.017,3386.949,5401122800
2010-04-08,3381.306,3381.306,3336.156,3346.744,6218532000
2010-04-09,3348.773,3379.398,3342.471,3379.17,5128056800
2010-04-12,3388.355,3393.557,3330.3,3351.478,7456515200
2010-04-13,3350.726,3401.707,3324.048,3391.716,7990769600
2010-04-14,3394.635,3404.516,3377.437,3403.707,6030613200
2010-04-15,3407.025,3412.937,3365.881,3394.574,6105168400
2010-04-16,3388.286,3388.286,3348.781,3356.332,4714036800
2010-04-19,3313.499,3313.499,3175.441,3176.423,8841630400
2010-04-20,3176.414,3196.646,3130.96,3173.374,6413786000
2010-04-21,3178.877,3237.537,3164.765,3236.679,6692833200
2010-04-22,3222.68,3231.985,3177.726,3201.541,7108168800
2010-04-23,3198.784,3224.739,3172.578,3190.003,6125268000
2010-04-26,3195.457,3207.715,3168.374,3171.997,5089420000
2010-04-27,3163.101,3163.101,3060.854,3108.409,6529657600
2010-04-28,3080.324,3122.115,3062.085,3097.353,4599540800
2010-04-29,3114.941,3130.696,3059.796,3060.064,4826097200
2010-04-30,3060.12,3068.127,3014.069,3067.365,5447788000
2010-05-04,3005.487,3056.082,2994.921,3019.449,4124860800
2010-05-05,2981.777,3036.865,2943.361,3036.394,5967044000
2010-05-06,3014.907,3014.907,2895.392,2896.856,5877041200
2010-05-07,2835.879,2892.533,2817.153,2836.789,6111940000
2010-05-10,2842.366,2872.314,2798.523,2858.233,5020917200
2010-05-11,2916.335,2922.125,2790.701,2800.817,5836348800
2010-05-12,2781.708,2832.147,2756.422,2818.16,5300227200
2010-05-13,2818.578,2886.972,2811.661,2886.911,5514577600
2010-05-14,2865.58,2888.093,2849.241,2868.023,4249872000
2010-05-17,2828.882,2828.882,2712.444,2714.715,5216684800
2010-05-18,2711.407,2781.845,2686.973,2771.348,5450967200
2010-05-19,2748.952,2803.695,2723.304,2762.174,4557622000
2010-05-20,2739.219,2793.876,2721.072,2726.022,4217480400
2010-05-21,2656.419,2769.094,2647.597,2768.791,5447538400
2010-05-24,2787.751,2886.368,2787.751,2873.469,7450233600
2010-05-25,2851.256,2855.332,2798.02,2813.943,5516832800
2010-05-26,2814.444,2839.031,2797.628,2813.944,3985856400
2010-05-27,2808.048,2866.865,2771.586,2859.979,5344520800
2010-05-28,2885.857,2893.687,2835.069,2850.302,5153498800
2010-05-31,2835.334,2857.416,2772.792,2773.264,4621685600
2010-06-01,2755.284,2782.288,2710.593,2744.162,4485142400
2010-06-02,2729.328,2757.914,2700.075,2757.527,3958702000
2010-06-03,2769.096,2787.512,2735.7,2736.076,3958725600
2010-06-04,2721.359,2748.476,2713.095,2744.391,3274629200
2010-06-07,2692.831,2716.401,2673.342,2695.715,3954199200
2010-06-08,2694.106,2720.586,2672.058,2699.336,3514018400
2010-06-09,2711.642,2787.825,2687.331,2782.133,6020953200
2010-06-10,2755.94,2776.259,2746.107,2750.023,4290633600
2010-06-11,2766.196,2782.095,2755.949,2758.866,4055858400
2010-06-17,2778.533,2784.916,2742.64,2742.733,3261235600
2010-06-18,2739.032,2755.842,2686.614,2696.166,4180834400
2010-06-21,2698.984,2784.47,2686.323,2780.663,5526148000
2010-06-22,2772.886,2795.323,2766.443,2783.72,3909605200
2010-06-23,2768.695,2788.219,2734.047,2758.495,3560035200
2010-06-24,2753.712,2783.508,2739.807,2757.498,2922068200
2010-06-25,2744.122,2759.445,2715.655,2736.287,3067178200
2010-06-28,2734.507,2751.455,2710.087,2716.777,2771004400
2010-06-29,2717.465,2724.231,2591.694,2592.019,4875855200
2010-06-30,2572.912,2575.824,2546.843,2563.07,3569879200
2010-07-01,2557.92,2574.098,2524.573,2526.071,3285764600
2010-07-02,2523.035,2542.122,2462.202,2534.105,4491410000
2010-07-05,2507.354,2529.425,2476.49,2512.651,3217857400
2010-07-06,2504.869,2563.411,2502.931,2562.902,3971476000
2010-07-07,2561.106,2580.608,2548.559,2580.477,3572090800
2010-07-08,2591.509,2602.23,2564.638,2575.921,3405696800
2010-07-09,2578.555,2662.163,2557.259,2647.104,5849304400
2010-07-12,2647.421,2689.809,2636.648,2676.218,5846249200
2010-07-13,2649.658,2649.658,2618.34,2634.593,4322850400
2010-07-14,2640.925,2684.616,2640.542,2653.609,4668886000
2010-07-15,2650.334,2680.442,2607.788,2608.519,4044046000
2010-07-16,2597.0,2621.332,2573.794,2616.128,3506330400
2010-07-19,2592.087,2691.937,2585.007,2682.472,5386807200
2010-07-20,2685.459,2746.237,2685.459,2741.503,7312834400
2010-07-21,2744.696,2766.205,2733.721,2747.335,7075708800
2010-07-22,2738.027,2783.138,2734.071,2781.286,6106480800
2010-07-23,2787.521,2806.979,2769.44,2793.076,6451856400
2010-07-26,2798.762,2811.953,2775.778,2811.055,5358002400
2010-07-27,2803.755,2812.208,2785.374,2795.724,4979988400
2010-07-28,2796.483,2866.404,2784.155,2863.724,7998595200
2010-07-29,2866.772,2888.599,2851.996,2877.976,9596540800
2010-07-30,2871.481,2876.136,2844.682,2868.846,6257559200
2010-08-02,2868.279,2922.612,2867.45,2917.275,7174329600
2010-08-03,2925.254,2929.614,2865.761,2865.971,8174836800
2010-08-04,2858.354,2876.595,2818.248,2876.434,7131804000
2010-08-05,2874.66,2877.31,2833.669,2850.829,6715758400
2010-08-06,2848.155,2898.534,2821.033,2897.659,7491489600
2010-08-09,2894.103,2922.624,2888.045,2918.241,7472639200
2010-08-10,2920.404,2925.296,2832.078,2832.638,7843503200
2010-08-11,2823.15,2864.361,2823.15,2850.211,5497913200
2010-08-12,2822.791,2860.369,2810.102,2816.386,5989322800
2010-08-13,2818.41,2856.043,2799.221,2855.547,5850772000
2010-08-16,2851.219,2927.688,2843.024,2922.083,8106804000
2010-08-17,2927.258,2949.73,2917.834,2942.291,7645291200
2010-08-18,2945.979,2962.749,2924.668,2937.362,7074760000
2010-08-19,2940.767,2975.188,2928.013,2955.395,7692486400
2010-08-20,2943.334,2951.956,2892.64,2898.333,7166330400
2010-08-23,2895.707,2920.541,2886.659,2896.192,4891551600
2010-08-24,2892.129,2933.118,2866.802,2911.827,6109379600
2010-08-25,2893.986,2904.662,2842.249,2843.023,6361062000
2010-08-26,2853.105,2868.878,2836.129,2850.093,4867044000
2010-08-27,2847.448,2861.074,2833.422,2858.566,4078958400
2010-08-30,2874.247,2921.085,2872.918,2915.01,6574988000
2010-08-31,2905.154,2910.06,2889.808,2903.188,6576610400
2010-09-01,2907.663,2931.76,2859.166,2884.042,7697557600
2010-09-02,2917.735,2931.547,2903.028,2921.393,7070084800
2010-09-03,2926.939,2929.548,2891.878,2920.205,7264102400
2010-09-06,2935.89,2980.424,2935.89,2975.09,9385568000
2010-09-07,2979.298,2991.435,2959.902,2983.108,7351936000
2010-09-08,2970.002,2982.72,2953.839,2980.967,7287200000
2010-09-09,2986.867,2986.867,2922.2,2926.46,8139555200
2010-09-10,2928.001,2940.79,2890.035,2932.554,6508670400
2010-09-13,2933.594,2977.078,2925.416,2962.319,6727990400
2010-09-14,2971.547,2984.466,2954.507,2965.009,7010590400
2010-09-15,2965.539,2965.539,2905.63,2913.194,7161964000
2010-09-16,2908.322,2917.849,2834.033,2857.789,7407428800
2010-09-17,2864.717,2877.083,2847.681,2861.369,5193886800
2010-09-20,2865.04,2872.219,2829.757,2849.828,5028310400
2010-09-21,2859.43,2869.38,2844.125,2857.476,3575188000
